host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
111,182,trans,10,10,10/10,10
111,25,none,6,10,6/10,6
111,251,complex,3,10,3/10,10
111,251,none,5,10,5/10,10
111,853,none,1,10,1/10,10
111,853,trans,9,10,9/10,10
12,224,none,6,10,6/10,10
12,224,trans,4,10,4/10,10
12,25,none,9,10,9/10,10
12,251,none,7,10,7/10,9
12,66,none,8,10,8/10,8
12,874,none,8,10,8/10,8
224,25,none,6,10,6/10,6
224,251,none,4,10,4/10,6
224,66,none,5,10,5/10,6
224,66,trans,1,10,1/10,6
224,874,none,5,10,5/10,6
224,874,trans,1,10,1/10,6
25,12,trans,1,10,1/10,10
25,251,none,8,10,8/10,10
25,66,none,7,10,7/10,9
25,66,trans,2,10,2/10,9
25,874,none,7,10,7/10,9
25,874,trans,2,10,2/10,9
251,111,trans,2,10,2/10,10
251,12,trans,2,10,2/10,9
251,224,trans,2,10,2/10,6
251,25,trans,2,10,2/10,10
251,491,none,4,10,4/10,10
251,491,trans,6,10,6/10,10
251,66,none,5,10,5/10,7
251,66,trans,2,10,2/10,7
251,874,none,5,10,5/10,7
251,874,trans,2,10,2/10,7
66,874,none,10,10,10/10,10
