unique.split,parent.split,host,parent.host
95,unassigned_region-SPLIT1,95,unassigned_region
19,95,19,95
53,19,53,19
64,unassigned_region-SPLIT1,64,unassigned_region
230,64,230,64
430,64,430,64
15,unassigned_region-SPLIT1,15,unassigned_region
2-SPLIT1,15,2,15
2-SPLIT2,15,2,15
313,2-SPLIT2,313,2
931,2-SPLIT2,931,2
2-SPLIT3,unassigned_region-SPLIT1,2,unassigned_region
947,unassigned_region-SPLIT1,947,unassigned_region
833,947,833,947
732-SPLIT2,947,732,947
26,732-SPLIT2,26,732
738,732-SPLIT2,738,732
224,unassigned_region-SPLIT2,224,unassigned_region
250-SPLIT1,unassigned_region-SPLIT2,250,unassigned_region
669,unassigned_region-SPLIT2,669,unassigned_region
250-SPLIT2,unassigned_region-SPLIT3,250,unassigned_region
108,unassigned_region-SPLIT3,108,unassigned_region
611,unassigned_region-SPLIT3,611,unassigned_region
125,732-SPLIT2,125,732
732-SPLIT1,125,732,125
6,125,6,125
12,unassigned_region-SPLIT4,12,unassigned_region
92,12,92,12
47,92,47,92
22,12,22,12
17,unassigned_region-SPLIT4,17,unassigned_region
100,17,100,17
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,125,unassigned_region,125
unassigned_region-SPLIT3,669,unassigned_region,669
unassigned_region-SPLIT4,6,unassigned_region,6
