unique.split,parent.split,host,parent.host
230,unassigned_region-SPLIT1,230,unassigned_region
64,unassigned_region-SPLIT1,64,unassigned_region
430-SPLIT1,64,430,64
430-SPLIT2,64,430,64
15,unassigned_region-SPLIT1,15,unassigned_region
2-SPLIT1,15,2,15
2-SPLIT2,unassigned_region-SPLIT1,2,unassigned_region
313,2-SPLIT2,313,2
931,2-SPLIT2,931,2
95,unassigned_region-SPLIT1,95,unassigned_region
19,95,19,95
53,19,53,19
947-SPLIT2,unassigned_region-SPLIT1,947,unassigned_region
732,947-SPLIT2,732,947
947-SPLIT1,732,947,732
738,732,738,732
26,732,26,732
224,unassigned_region-SPLIT2,224,unassigned_region
250,unassigned_region-SPLIT2,250,unassigned_region
669,250,669,250
611,unassigned_region-SPLIT3,611,unassigned_region
108,unassigned_region-SPLIT3,108,unassigned_region
125,unassigned_region-SPLIT2,125,unassigned_region
6,unassigned_region-SPLIT4,6,unassigned_region
17,unassigned_region-SPLIT4,17,unassigned_region
100,17,100,17
12,unassigned_region-SPLIT4,12,unassigned_region
22,12,22,12
92,12,92,12
47,92,47,92
833,947-SPLIT2,833,947
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,732,unassigned_region,732
unassigned_region-SPLIT3,250,unassigned_region,250
unassigned_region-SPLIT4,125,unassigned_region,125
