unique.split,parent.split,host,parent.host
95,unassigned_region-SPLIT1,95,unassigned_region
19,95,19,95
53,19,53,19
732,unassigned_region-SPLIT1,732,unassigned_region
125-SPLIT1,732,125,732
224,unassigned_region-SPLIT2,224,unassigned_region
250-SPLIT1,unassigned_region-SPLIT2,250,unassigned_region
669,unassigned_region-SPLIT2,669,unassigned_region
108,unassigned_region-SPLIT3,108,unassigned_region
611,unassigned_region-SPLIT3,611,unassigned_region
250-SPLIT2,unassigned_region-SPLIT3,250,unassigned_region
125-SPLIT2,unassigned_region-SPLIT2,125,unassigned_region
6,unassigned_region-SPLIT4,6,unassigned_region
92,unassigned_region-SPLIT4,92,unassigned_region
47,92,47,92
12,unassigned_region-SPLIT4,12,unassigned_region
22,12,22,12
17,unassigned_region-SPLIT4,17,unassigned_region
100,17,100,17
738,732,738,732
26,732,26,732
947,unassigned_region-SPLIT1,947,unassigned_region
833,947,833,947
430,64,430,64
64,unassigned_region-SPLIT1,64,unassigned_region
230,unassigned_region-SPLIT1,230,unassigned_region
15,unassigned_region-SPLIT1,15,unassigned_region
2,unassigned_region-SPLIT1,2,unassigned_region
313,2,313,2
931,2,931,2
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,732,unassigned_region,732
unassigned_region-SPLIT3,669,unassigned_region,669
unassigned_region-SPLIT4,125-SPLIT2,unassigned_region,125
