unique.split,parent.split,host,parent.host
542-SPLIT1,unassigned_region-SPLIT1,542,unassigned_region
230,unassigned_region-SPLIT1,230,unassigned_region
159,230,159,230
895,159,895,159
691,unassigned_region-SPLIT1,691,unassigned_region
247,691,247,691
596,unassigned_region-SPLIT1,596,unassigned_region
57,596,57,596
796,unassigned_region-SPLIT2,796,unassigned_region
179,unassigned_region-SPLIT2,179,unassigned_region
291,unassigned_region-SPLIT2,291,unassigned_region
881,unassigned_region-SPLIT2,881,unassigned_region
26,unassigned_region-SPLIT2,26,unassigned_region
33,unassigned_region-SPLIT1,33,unassigned_region
112,33,112,33
199,112,199,112
709,199,709,199
271,unassigned_region-SPLIT3,271,unassigned_region
59,unassigned_region-SPLIT3,59,unassigned_region
599,76,599,76
76,unassigned_region-SPLIT3,76,unassigned_region
916,76,916,76
165,916,165,916
154,165,154,165
542-SPLIT2,unassigned_region-SPLIT1,542,unassigned_region
328-SPLIT1,unassigned_region-SPLIT4,328,unassigned_region
205,unassigned_region-SPLIT4,205,unassigned_region
328-SPLIT2,205,328,205
703,205,703,205
50,unassigned_region-SPLIT5,50,unassigned_region
615,50,615,50
908,50,908,50
79,unassigned_region-SPLIT5,79,unassigned_region
unassigned_region-SPLIT1,root,unassigned_region,root
unassigned_region-SPLIT2,596,unassigned_region,596
unassigned_region-SPLIT3,112,unassigned_region,112
unassigned_region-SPLIT4,542-SPLIT2,unassigned_region,542
unassigned_region-SPLIT5,542-SPLIT2,unassigned_region,542
