host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8
163,1000_to_1099,1049.5,10,10,1,6,0.9128322000000001,0.9128322000000001,0.770677,2.248242,1.2608169777777778,1.2608169777777778,0.9128322000000001,0.9128322000000001,0.770677,2.248242,1.2608169777777778,1.2608169777777778,1,0,0,0,0,0,0,0
209,1000_to_1099,1049.5,10,10,2,5,3.1450725000000004,3.1905952500000003,4.424124,9.463497,5.004851533333333,4.885950714285714,3.1450725000000004,3.1905952500000003,4.424124,9.463497,5.004851533333333,4.885950714285714,0.8,0.2,0,0,0,0,0,0
214,1000_to_1099,1049.5,10,10,1,7,0.6664836999999999,0.6664836999999999,0.535523,1.4260259999999998,0.797101311111111,0.797101311111111,0.6664836999999999,0.6664836999999999,0.535523,1.4260259999999998,0.797101311111111,0.797101311111111,1,0,0,0,0,0,0,0
266,1000_to_1099,1049.5,10,10,1,5,0.0692658,0.0692658,0.056979,0.11485200000000001,0.054941333333333335,0.054941333333333335,0.0692658,0.0692658,0.056979,0.11485200000000001,0.054941333333333335,0.054941333333333335,1,0,0,0,0,0,0,0
315,1000_to_1099,1049.5,10,10,1,4,0.6303918000000001,0.6303918000000001,0.453722,1.531345,1.0520766666666665,1.0520766666666665,0.6303918000000001,0.6303918000000001,0.453722,1.531345,1.0520766666666665,1.0520766666666665,1,0,0,0,0,0,0,0
322,1000_to_1099,1049.5,10,10,1,8,2.6617049999999995,2.6617049999999995,2.499644,7.23029,3.4775171555555553,3.4775171555555553,2.6617049999999995,2.6617049999999995,2.499644,7.23029,3.4775171555555553,3.4775171555555553,1,0,0,0,0,0,0,0
327,1000_to_1099,1049.5,10,10,2,2,6.206841000000001,4.39189725,5.097567000000001,11.693010000000001,6.1125614666666666,3.9627574285714284,6.206841000000001,4.39189725,5.097567000000001,11.693010000000001,6.1125614666666666,3.9627574285714284,0.8,0.2,0,0,0,0,0,0
53,1000_to_1099,1049.5,10,10,1,1,0.31906080000000003,0.31906080000000003,0.327315,0.686975,0.41290248888888886,0.41290248888888886,0.31906080000000003,0.31906080000000003,0.327315,0.686975,0.41290248888888886,0.41290248888888886,1,0,0,0,0,0,0,0
530,1000_to_1099,1049.5,10,10,1,1,0.7758951,0.7758951,0.772923,1.6414269999999997,0.8670066888888889,0.8670066888888889,0.7758951,0.7758951,0.772923,1.6414269999999997,0.8670066888888889,0.8670066888888889,1,0,0,0,0,0,0,0
584,1000_to_1099,1049.5,10,10,1,6,3.0849322,3.0849322,3.030742,7.229866,4.9236220444444445,4.9236220444444445,3.0849322,3.0849322,3.030742,7.229866,4.9236220444444445,4.9236220444444445,1,0,0,0,0,0,0,0
688,1000_to_1099,1049.5,10,10,1,4,3.8705032000000004,3.8705032000000004,4.550174999999999,10.938881,6.429451155555555,6.429451155555555,3.8705032000000004,3.8705032000000004,4.550174999999999,10.938881,6.429451155555555,6.429451155555555,1,0,0,0,0,0,0,0
834,1000_to_1099,1049.5,10,10,1,3,0.5156837999999999,0.5156837999999999,0.6485380000000001,1.697267,0.9189052444444444,0.9189052444444444,0.5156837999999999,0.5156837999999999,0.6485380000000001,1.697267,0.9189052444444444,0.9189052444444444,1,0,0,0,0,0,0,0
867,1000_to_1099,1049.5,10,10,5,8,3.3462252,2.3944235999999997,4.091109,9.353132,5.7659984444444445,3.943419,3.3462252,2.3944235999999997,4.091109,9.353132,5.7659984444444445,3.943419,0.5,0.2,0.1,0.1,0.1,0,0,0
910,1000_to_1099,1049.5,10,10,2,6,2.4304905,1.780225222222222,1.9766139999999999,5.240131000000001,2.9521474444444444,2.7509745,2.4304905,1.780225222222222,1.9766139999999999,5.240131000000001,2.9521474444444444,2.7509745,0.9,0.1,0,0,0,0,0,0
935,1000_to_1099,1049.5,10,10,1,1,0.20418980000000003,0.20418980000000003,0.263998,0.703175,0.31600453333333334,0.31600453333333334,0.20418980000000003,0.20418980000000003,0.263998,0.703175,0.31600453333333334,0.31600453333333334,1,0,0,0,0,0,0,0
163,10000_to_10099,10049.5,10,10,1,4,1.3229402000000001,1.3229402000000001,1.713399,3.7537599999999998,1.6588024444444445,1.6588024444444445,1.3229402000000001,1.3229402000000001,1.713399,3.7537599999999998,1.6588024444444445,1.6588024444444445,1,0,0,0,0,0,0,0
209,10000_to_10099,10049.5,10,10,3,6,2.3271640999999996,1.856318,2.632747,6.351344,3.7888664666666667,3.061744,2.3271640999999996,1.856318,2.632747,6.351344,3.7888664666666667,3.061744,0.7,0.2,0.1,0,0,0,0,0
214,10000_to_10099,10049.5,10,10,1,4,0.7707151000000001,0.7707151000000001,0.572657,1.3439239999999997,0.7637479777777777,0.7637479777777777,0.7707151000000001,0.7707151000000001,0.572657,1.3439239999999997,0.7637479777777777,0.7637479777777777,1,0,0,0,0,0,0,0
266,10000_to_10099,10049.5,10,10,1,5,0.0461803,0.0461803,0.043333000000000003,0.07325100000000001,0.03673682222222223,0.03673682222222223,0.0461803,0.0461803,0.043333000000000003,0.07325100000000001,0.03673682222222223,0.03673682222222223,1,0,0,0,0,0,0,0
315,10000_to_10099,10049.5,10,10,1,6,0.6866933,0.6866933,0.657647,2.076559,1.1209944666666667,1.1209944666666667,0.6866933,0.6866933,0.657647,2.076559,1.1209944666666667,1.1209944666666667,1,0,0,0,0,0,0,0
322,10000_to_10099,10049.5,10,10,1,5,2.0720885,2.0720885,2.68001,6.780901,3.2976546444444446,3.2976546444444446,2.0720885,2.0720885,2.68001,6.780901,3.2976546444444446,3.2976546444444446,1,0,0,0,0,0,0,0
327,10000_to_10099,10049.5,10,10,1,1,4.8790985,4.8790985,4.338168,9.928871,4.990592111111111,4.990592111111111,4.8790985,4.8790985,4.338168,9.928871,4.990592111111111,4.990592111111111,1,0,0,0,0,0,0,0
53,10000_to_10099,10049.5,10,10,1,1,0.3014504,0.3014504,0.296235,0.770846,0.40176106666666667,0.40176106666666667,0.3014504,0.3014504,0.296235,0.770846,0.40176106666666667,0.40176106666666667,1,0,0,0,0,0,0,0
530,10000_to_10099,10049.5,10,10,1,1,0.5616955,0.5616955,0.770326,1.712791,0.9474082888888888,0.9474082888888888,0.5616955,0.5616955,0.770326,1.712791,0.9474082888888888,0.9474082888888888,1,0,0,0,0,0,0,0
584,10000_to_10099,10049.5,10,10,1,4,2.6030172,2.6030172,3.6552659999999997,6.677128,4.2894159555555555,4.2894159555555555,2.6030172,2.6030172,3.6552659999999997,6.677128,4.2894159555555555,4.2894159555555555,1,0,0,0,0,0,0,0
688,10000_to_10099,10049.5,10,10,1,3,2.8841550000000002,2.8841550000000002,3.255147,8.105306,4.818427688888889,4.818427688888889,2.8841550000000002,2.8841550000000002,3.255147,8.105306,4.818427688888889,4.818427688888889,1,0,0,0,0,0,0,0
834,10000_to_10099,10049.5,10,10,2,3,0.8442605999999999,0.60369175,0.5309200000000001,1.5074779999999999,0.9441574666666667,0.864232,0.8442605999999999,0.60369175,0.5309200000000001,1.5074779999999999,0.9441574666666667,0.864232,0.8,0.2,0,0,0,0,0,0
867,10000_to_10099,10049.5,10,10,6,7,3.9607096999999998,1.218281,4.897025,9.516996,6.823909444444444,1.763934,3.9607096999999998,1.218281,4.897025,9.516996,6.823909444444444,1.763934,0.3,0.2,0.2,0.1,0.1,0.1,0,0
910,10000_to_10099,10049.5,10,10,2,7,2.2151227000000002,1.5899402222222223,3.058661,5.579823000000001,3.0203115333333335,2.613239111111111,2.2151227000000002,1.5899402222222223,3.058661,5.579823000000001,3.0203115333333335,2.613239111111111,0.9,0.1,0,0,0,0,0,0
935,10000_to_10099,10049.5,10,10,1,1,0.3495667,0.3495667,0.215467,0.6890360000000001,0.2719498444444444,0.2719498444444444,0.3495667,0.3495667,0.215467,0.6890360000000001,0.2719498444444444,0.2719498444444444,1,0,0,0,0,0,0,0
163,10200_to_10299,10249.5,10,10,1,1,0.8932554000000001,0.8932554000000001,0.74174,2.5178369999999997,1.3476672444444444,1.3476672444444444,0.8932554000000001,0.8932554000000001,0.74174,2.5178369999999997,1.3476672444444444,1.3476672444444444,1,0,0,0,0,0,0,0
209,10200_to_10299,10249.5,10,10,2,6,3.3595105999999992,3.0118355,2.583423,9.325425,4.998878755555555,3.9219131333333332,3.3595105999999992,3.0118355,2.583423,9.325425,4.998878755555555,3.9219131333333332,0.6,0.4,0,0,0,0,0,0
214,10200_to_10299,10249.5,10,10,1,9,0.8969739999999999,0.8969739999999999,1.004043,1.9778229999999999,1.0362216,1.0362216,0.8969739999999999,0.8969739999999999,1.004043,1.9778229999999999,1.0362216,1.0362216,1,0,0,0,0,0,0,0
266,10200_to_10299,10249.5,10,10,1,4,0.0329135,0.0329135,0.030923,0.072384,0.03299837777777778,0.03299837777777778,0.0329135,0.0329135,0.030923,0.072384,0.03299837777777778,0.03299837777777778,1,0,0,0,0,0,0,0
315,10200_to_10299,10249.5,10,10,1,8,0.6704246,0.6704246,0.559326,1.7911350000000001,0.9777623555555556,0.9777623555555556,0.6704246,0.6704246,0.559326,1.7911350000000001,0.9777623555555556,0.9777623555555556,1,0,0,0,0,0,0,0
322,10200_to_10299,10249.5,10,10,2,5,3.0179645,1.7016853333333335,2.8232670000000004,9.621758,4.386249577777778,2.7993950666666665,3.0179645,1.7016853333333335,2.8232670000000004,9.621758,4.386249577777778,2.7993950666666665,0.6,0.4,0,0,0,0,0,0
327,10200_to_10299,10249.5,10,10,3,3,6.0945134,2.116846,4.391146,12.479056999999997,6.431922444444444,1.8148798095238097,6.0945134,2.116846,4.391146,12.479056999999997,6.431922444444444,1.8148798095238097,0.7,0.2,0.1,0,0,0,0,0
53,10200_to_10299,10249.5,10,10,1,1,0.43800610000000006,0.43800610000000006,0.293848,1.145098,0.5701782,0.5701782,0.43800610000000006,0.43800610000000006,0.293848,1.145098,0.5701782,0.5701782,1,0,0,0,0,0,0,0
530,10200_to_10299,10249.5,10,10,1,1,0.7020187999999999,0.7020187999999999,0.716901,1.7579879999999997,0.9337495555555555,0.9337495555555555,0.7020187999999999,0.7020187999999999,0.716901,1.7579879999999997,0.9337495555555555,0.9337495555555555,1,0,0,0,0,0,0,0
584,10200_to_10299,10249.5,10,10,1,4,1.8887917,1.8887917,3.090597,6.621254,3.5364648666666665,3.5364648666666665,1.8887917,1.8887917,3.090597,6.621254,3.5364648666666665,3.5364648666666665,1,0,0,0,0,0,0,0
688,10200_to_10299,10249.5,10,10,1,4,3.6556528,3.6556528,2.682208,7.885626,5.2983692,5.2983692,3.6556528,3.6556528,2.682208,7.885626,5.2983692,5.2983692,1,0,0,0,0,0,0,0
834,10200_to_10299,10249.5,10,10,1,5,0.8883803,0.8883803,0.580555,1.2965030000000002,0.8403706444444444,0.8403706444444444,0.8883803,0.8883803,0.580555,1.2965030000000002,0.8403706444444444,0.8403706444444444,1,0,0,0,0,0,0,0
867,10200_to_10299,10249.5,10,10,7,8,3.5044714,1.5188236666666668,3.77764,9.021897000000001,6.357238355555555,2.346558,3.5044714,1.5188236666666668,3.77764,9.021897000000001,6.357238355555555,2.346558,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0
910,10200_to_10299,10249.5,10,10,1,8,2.3283017000000004,2.3283017000000004,2.010307,5.83352,3.2113995777777777,3.2113995777777777,2.3283017000000004,2.3283017000000004,2.010307,5.83352,3.2113995777777777,3.2113995777777777,1,0,0,0,0,0,0,0
935,10200_to_10299,10249.5,10,10,1,1,0.2539283,0.2539283,0.185642,0.689533,0.3373412666666667,0.3373412666666667,0.2539283,0.2539283,0.185642,0.689533,0.3373412666666667,0.3373412666666667,1,0,0,0,0,0,0,0
163,10300_to_10399,10349.5,10,10,1,7,0.9590060999999999,0.9590060999999999,0.648967,2.2576739999999997,1.2830416222222223,1.2830416222222223,0.9590060999999999,0.9590060999999999,0.648967,2.2576739999999997,1.2830416222222223,1.2830416222222223,1,0,0,0,0,0,0,0
209,10300_to_10399,10349.5,10,10,2,6,5.7157843999999995,2.722223111111111,7.990259999999999,12.190446000000001,5.364040622222222,4.02693,5.7157843999999995,2.722223111111111,7.990259999999999,12.190446000000001,5.364040622222222,4.02693,0.9,0.1,0,0,0,0,0,0
