dataset,phylo_prec,phylo_rec,phylo_f1,tnet_prec,tnet_rec,tnet_f1
SEIR015_sl1000_mr0125_nv10_1,1.0,0.918,0.957,0.966,0.384,0.549
SEIR015_sl1000_mr0125_nv10_10,1.0,0.474,0.643,1.0,0.526,0.69
SEIR015_sl1000_mr0125_nv10_11,1.0,0.538,0.7,1.0,0.308,0.471
SEIR015_sl1000_mr0125_nv10_12,1.0,0.643,0.783,1.0,0.357,0.526
SEIR015_sl1000_mr0125_nv10_13,1.0,0.96,0.98,1.0,0.58,0.734
SEIR015_sl1000_mr0125_nv10_14,1.0,0.654,0.791,1.0,0.577,0.732
SEIR015_sl1000_mr0125_nv10_15,1.0,0.622,0.767,0.929,0.289,0.441
SEIR015_sl1000_mr0125_nv10_16,0.861,0.492,0.626,0.973,0.571,0.72
SEIR015_sl1000_mr0125_nv10_17,1.0,0.462,0.632,0.923,0.462,0.615
SEIR015_sl1000_mr0125_nv10_18,1.0,0.5,0.667,1.0,0.4,0.571
SEIR015_sl1000_mr0125_nv10_19,1.0,0.548,0.708,1.0,0.548,0.708
SEIR015_sl1000_mr0125_nv10_2,1.0,0.688,0.815,1.0,0.625,0.769
SEIR015_sl1000_mr0125_nv10_20,0.958,0.561,0.708,0.944,0.415,0.576
SEIR015_sl1000_mr0125_nv10_3,1.0,0.667,0.8,1.0,0.444,0.615
SEIR015_sl1000_mr0125_nv10_4,1.0,0.8,0.889,1.0,0.5,0.667
SEIR015_sl1000_mr0125_nv10_5,0.958,0.902,0.929,1.0,0.235,0.381
SEIR015_sl1000_mr0125_nv10_6,1.0,0.6,0.75,1.0,0.286,0.444
SEIR015_sl1000_mr0125_nv10_7,0.979,0.676,0.8,0.968,0.441,0.606
SEIR015_sl1000_mr0125_nv10_8,1.0,0.667,0.8,1.0,0.333,0.5
SEIR015_sl1000_mr0125_nv10_9,0.75,0.429,0.545,0.75,0.143,0.24
SEIR015_sl1000_mr025_nv10_1,1.0,0.6,0.75,1.0,0.7,0.824
SEIR015_sl1000_mr025_nv10_10,1.0,0.545,0.706,1.0,0.364,0.533
SEIR015_sl1000_mr025_nv10_11,0.977,0.75,0.848,1.0,0.411,0.582
SEIR015_sl1000_mr025_nv10_12,1.0,0.2,0.333,1.0,0.3,0.462
SEIR015_sl1000_mr025_nv10_13,1.0,0.1,0.182,1.0,0.2,0.333
SEIR015_sl1000_mr025_nv10_14,0.842,0.64,0.727,0.824,0.56,0.667
SEIR015_sl1000_mr025_nv10_15,1.0,0.5,0.667,1.0,0.207,0.343
SEIR015_sl1000_mr025_nv10_16,1.0,0.571,0.727,0.9,0.643,0.75
SEIR015_sl1000_mr025_nv10_17,0.933,0.737,0.824,0.895,0.447,0.596
SEIR015_sl1000_mr025_nv10_18,1.0,0.595,0.746,1.0,0.486,0.655
SEIR015_sl1000_mr025_nv10_19,1.0,0.737,0.848,0.875,0.368,0.519
