host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6
140,1000_to_1099,1049.5,10,10,1,2,2.7436658,2.7436658,3.132457,7.734235,2.6154406666666667,2.6154406666666667,2.7436658,2.7436658,3.132457,7.734235,2.6154406666666667,2.6154406666666667,1,0,0,0,0,0
149,1000_to_1099,1049.5,10,10,1,1,0.18394649999999999,0.18394649999999999,0.128059,0.25497899999999996,0.11524508888888889,0.11524508888888889,0.18394649999999999,0.18394649999999999,0.128059,0.25497899999999996,0.11524508888888889,0.11524508888888889,1,0,0,0,0,0
15,1000_to_1099,1049.5,10,10,2,6,1.8230391000000001,1.4232235000000002,2.3685460000000003,6.093012000000001,2.8898582,2.1926363571428573,1.8230391000000001,1.4232235000000002,2.3685460000000003,6.093012000000001,2.8898582,2.1926363571428573,0.8,0.2,0,0,0,0
16,1000_to_1099,1049.5,10,10,4,8,4.595384,3.429293833333334,5.396192,13.673563000000001,8.506183777777778,5.443300600000001,4.595384,3.429293833333334,5.396192,13.673563000000001,8.506183777777778,5.443300600000001,0.6,0.2,0.1,0.1,0,0
185,1000_to_1099,1049.5,10,10,1,1,2.6397142000000002,2.6397142000000002,1.403177,3.8559959999999998,1.6567265777777778,1.6567265777777778,2.6397142000000002,2.6397142000000002,1.403177,3.8559959999999998,1.6567265777777778,1.6567265777777778,1,0,0,0,0,0
243,1000_to_1099,1049.5,10,10,2,4,1.5307855999999997,1.196007,3.9896220000000002,5.774614,2.3696391555555554,1.7118225555555555,1.5307855999999997,1.196007,3.9896220000000002,5.774614,2.3696391555555554,1.7118225555555555,0.9,0.1,0,0,0,0
375,1000_to_1099,1049.5,10,10,3,3,8.9085026,4.236797666666667,17.673906,29.376325,13.405507688888889,6.726084266666667,8.9085026,4.236797666666667,17.673906,29.376325,13.405507688888889,6.726084266666667,0.6,0.3,0.1,0,0,0
387,1000_to_1099,1049.5,10,10,1,1,1.5116517000000003,1.5116517000000003,0.862277,2.47538,1.3203653555555555,1.3203653555555555,1.5116517000000003,1.5116517000000003,0.862277,2.47538,1.3203653555555555,1.3203653555555555,1,0,0,0,0,0
405,1000_to_1099,1049.5,10,10,3,3,4.0576951,1.54718225,10.241741999999999,14.439472999999998,5.528366155555555,2.5315037142857144,4.0576951,1.54718225,10.241741999999999,14.439472999999998,5.528366155555555,2.5315037142857144,0.8,0.1,0.1,0,0,0
407,1000_to_1099,1049.5,10,10,1,1,1.0554003,1.0554003,0.6931970000000001,1.871625,1.0450177111111112,1.0450177111111112,1.0554003,1.0554003,0.6931970000000001,1.871625,1.0450177111111112,1.0450177111111112,1,0,0,0,0,0
525,1000_to_1099,1049.5,10,10,1,4,2.6262746999999997,2.6262746999999997,2.8093010000000005,8.399331,4.1842451333333335,4.1842451333333335,2.6262746999999997,2.6262746999999997,2.8093010000000005,8.399331,4.1842451333333335,4.1842451333333335,1,0,0,0,0,0
532,1000_to_1099,1049.5,10,10,2,3,2.0963039,0.66123322222222225,4.8980440000000005,5.863824000000001,1.813129888888889,0.8765930555555556,2.0963039,0.66123322222222225,4.8980440000000005,5.863824000000001,1.813129888888889,0.8765930555555556,0.9,0.1,0,0,0,0
73,1000_to_1099,1049.5,10,10,2,3,4.7317943,2.57810175,5.502283,9.106232,5.022155133333333,3.383195857142857,4.7317943,2.57810175,5.502283,9.106232,5.022155133333333,3.383195857142857,0.8,0.2,0,0,0,0
801,1000_to_1099,1049.5,10,10,1,1,2.3424891,2.3424891,2.154581,4.690256,2.9720050444444444,2.9720050444444444,2.3424891,2.3424891,2.154581,4.690256,2.9720050444444444,2.9720050444444444,1,0,0,0,0,0
140,10000_to_10099,10049.5,10,10,2,2,1.8718562000000003,0.48764525,2.889478,6.940177,2.3277612444444444,0.7679255,1.8718562000000003,0.48764525,2.889478,6.940177,2.3277612444444444,0.7679255,0.8,0.2,0,0,0,0
149,10000_to_10099,10049.5,10,10,1,1,0.0830642,0.0830642,0.202761,0.290469,0.13068866666666668,0.13068866666666668,0.0830642,0.0830642,0.202761,0.290469,0.13068866666666668,0.13068866666666668,1,0,0,0,0,0
15,10000_to_10099,10049.5,10,10,1,4,2.4218688999999998,2.4218688999999998,2.524592,5.1871860000000005,2.6067522444444444,2.6067522444444444,2.4218688999999998,2.4218688999999998,2.524592,5.1871860000000005,2.6067522444444444,2.6067522444444444,1,0,0,0,0,0
16,10000_to_10099,10049.5,10,10,4,7,4.7591122,3.4910421428571428,5.797983,12.424627000000001,8.310345866666667,6.579181238095238,4.7591122,3.4910421428571428,5.797983,12.424627000000001,8.310345866666667,6.579181238095238,0.7,0.1,0.1,0.1,0,0
